projectName,year,month,sum_loc_added,sum_loc_deleted,sum_commits,median_contributors,max_loc_total,sum_abs_loc_growth,prod_loc_growth_factor,age
kdelibs,2008,12,443995,344570,9349,87.,918037,94515,1.1147692472113327698170348116660844671342266781749522415895277354052186775225418927572043092089585543236438946567697559178942194156545344800,11
ubuntu,2013,12,336,81,22,1,974464,255,1.00026175081531176180283807440,17
pgadmin,2002,12,8119,5258,106,1,3331,2861,12.970711296006939661360110982188,0
spamassassin,2013,12,1517,1136,80,2,84894,381,1.0045081821729856698568873309931025384,9
freebsd-ports,2001,12,299632,132747,15242,80.,413780,166885,1.67593511409959410497985476268938979289683910459071654794812196568314140904805924760726617057734377119463713476323663518684308480000,7
lives,2012,12,43032,16516,620,1.,260558,26516,1.113295904155275970534794694822661183783772504952927020560942381997691142796988140426275070662800609856548869762880944389689424132206904371200000,8
django,2013,12,90718,83905,483,19,153060,6091,1.04144411407011881912266444908548352,8
sane,1995,12,0,0,0,0.,163,0,1.000000000000,1
dejavu,2013,12,0,0,0,0,1937,0,1.000,9
magpierss,2013,12,0,0,0,0,2259,0,1.000,11
tuxracer,2004,12,0,0,0,0.,27025,0,1.000000000000,4
flac,2006,12,21159,32782,394,1.,86190,-11623,0.8620611900792140505853748950258243751726133752390134631457967964466093861218304103265956496020776643966848000,5
stackless,2009,12,272672,177515,5776,25.,1613214,41255,1.02624432316589256707212595720634140659680545682331602947756987918796324801039307013010243818673741790455065861987234390803501810626447102105600000000,19
ac3filter,2009,12,0,0,0,0.,61406,0,1.000000000000,3
mochikit,2008,12,61248,57636,221,1.5,37263,3612,1.1073370776580149774401772086824035970752639343919242759244320689862487530245539419260035880000000,3
ontowiki,2007,12,698635,414340,2520,8.5,353768,284295,5.092165301155330979530477178886519947704054617369736283544319496227608826801229895014815056544202365826138514370861623750576,3
sdl,2008,12,347820,98405,2147,6.,1949113,230055,1.133826200173605622694175831917701173379298273271774395036994452851681411442294996439441830929325752152974939084410173569556701353442031127150275801600,9
squid,1997,12,199059,131243,4099,2.,200282,67816,1.511950236331296645097807394998726026576840400600996802386766634582577624044193598791934666564219898710929875543685988700000,1
openvz,2007,12,25932268,15920866,139829,471.5,23021520,2016144,1.095982285683712324497664837446844676308491691111157149942840153796127183003582782738583107864323884329732364923895759156800665393070204159008848000,2
MacPorts,2011,12,466326,225985,1433,14.,1833281,240341,1.1508788780558077103474333874054597359316737514969419524475316904002896457002909562552512189425869094688308096045034712345956832866302227861359946240000,9
blueprintcss,2009,12,592,3555,40,1.5,5355,-2979,0.4223385689354177804872361041473991214577977549021341161521632555149000000000,2
atheme,2012,12,8760,10752,385,3,100790,-1252,0.986936152006221488027175734384375922581051824662150087420000000,7
kicad,2008,12,136396,198822,997,6.,273123,-62426,0.7628254567397191289027150273213442884560450922804109914740677133968335400409842496328060411248077789546875534228129948035074616185256598809152,1
primefaces,2013,12,4368,3530,206,1,199092,838,1.0042270074500002789877421608877759113400,4
tunnelblick,2011,12,62439,24442,398,1.,54825,37997,3.25796291894263574869081941387085793383781497632277803850784566770964796341233430919111619397754225542847633817600,3
twisted,2007,12,22619,13285,281,5.,176463,9334,1.055849074664525530159003754656463401344836218029371243848724218939827439426045114912861177029898821320262470320619057646679492674913648725196800,6
supertuxkart,2010,12,67030,51881,2182,4.,75875,15149,1.2494648091373191971435378342325428687166120926255545327041971164828740609724281167483476884299816924677332527628914138853457487545380000,3
php-dropbox,2009,12,0,0,0,0.,563,0,1.000000000000,2
brlcad,2012,12,224720,238870,4890,10.,1112395,-14150,0.987197536127267512744642065668080843878078145945207999234342544800931795793936977288226998545678832930273578322459055217158928173560311559856000,28
YoctoProject,2010,12,177171,2927978,2072,14.,1044298,-2751141,0.05301110512124087488612936953367336882527137651329132032385422552642648912567203276523291077625306286082860223180054303015140646092800,5
libusb,2010,12,6231,1156,122,4.,16176,5075,1.457536963586228142258129493792679501040589829591304447565688326181799728633568536746408565032302159312885956954877427200000,10
systemtap,2008,12,84939,38509,1354,11.,83588,23978,1.4022479449168810263675608248962351588890811606011447033988564351851200244522122933456597827032549661933621435505088847879715584000000,3
forms,2009,12,470,488,15,0.,14454,-18,0.99875466998800000000000,6
warzone2100,2009,12,238459,571108,4879,7.,898327,-185059,0.7814675033468261250249807080147384167437561108037219741897877427431776710335135024815799263066108665909432445970534785831307091723185356800,4
vi,2007,12,14,0,1,0.,18135,14,1.000772584294500000000000,2
gtk-doc,2013,12,13,11,4,1,7937,2,1.000252047889033327100420250,15
jaxen,2011,12,18,1,3,0.,32376,17,1.000525356160594073246603050000000000,10
pango,2007,12,15594,17201,375,2.5,64641,-1607,0.97454942827205531839181039549907111197545042802981210601553647753352398991554496607363980611106378045902744859965193733443905810509263150646592000,10
gimp,2006,12,187079,184174,2101,10.,644859,2905,1.00455023901907252346762795822939950501100926761781738333480958500964415654030299344790656995633550904726621482887225178746201187031097254719488000,9
zabbix,2001,12,9163,4362,306,1,8749,4801,2.216058764121719636920384571626017265769849608311000768988460121940252737242568880302610771968000,0
xmobar,2009,12,544,195,31,1.,1661,349,1.2660060975675661425586422069077827376226098727188896951808599082021488953013442608918404170711055728640000,2
mondrian,2004,12,245214,45910,424,3.,959106,199304,1.2623104439984900509414995839861455115616236023716432309257506342275345010537391177586959117900269313743031446537045558235272700270531011148711040000,2
racket,2005,12,3309603,137835,3765,16.,3179553,3171768,408.4204238771621403030457032979747841849319920592648660641955844996554520360565597729169307272087278033499426750000000,1
gnash,2009,12,572520,418115,4672,8.5,313218,75631,1.321015793832707849618175297839397705024868655199890409889297542148430084428144142846404380043237298887406033052561853424439775696551936000000,3
riak,2011,12,112484,77489,1897,14.,50933,18006,1.5499526587447592576576680985872841633461211646793174224520561764281056312163113651752200981569631096579162158511282852974086577105920,2
evince,2006,12,17229,5924,321,5.,54238,11305,1.2633172617359541573712236649055361079976339116463480358640878177436238084261436084428700463802159106805612292231562033894878590379326494720,7
brlcad,2000,12,480692,287580,2100,5.,995360,193112,1.24071359479374163131303084610451004356157428302102685532341989304774028877249309278447173965346179063155765303376487153925558029392022804561280,16
sylpheed,2012,12,4380,2471,116,1.,139959,1909,1.0138283230710746697177239316601601212288452973162122313119559655958999372774119127289016524302291192365930407420762307494105124466966528000,7
bcfg2,2003,12,245,14,7,1.,286,231,5.199999999520685112,0
mediacoder,2009,12,98426,37888,37,0.,122799,60538,1.9723261752588134006650603595486474000000000,3
marble,2008,12,104159,49972,1494,11.,83096,54187,2.87439897598135205739776994058419240734389046126155260823460736056414808033263247583286225479121527060887350733963067848192000000,2
scikit-learn,2013,12,136935,93587,649,19,286906,16474,1.060917347060138340906154752498528,3
opensso,2010,12,8374,3539,132,0.,1750447,4835,1.002769802224501937683251988815606862290000000000,5
gcc,1999,12,543917,270491,5932,32.,1159536,273426,1.308568913554856507266413988410146123236223078417420552799288727227971581365979773017532148509669202908439808635060689048153651954569535513600,11
postgres,2011,12,109978,59877,1982,10.,636559,50101,1.085429817638230676132536629799344588422656712308999653799244332894910893710424386019146352712411345454392288892308810961768636986780987904000,15
ossim,2010,12,374180,273470,1282,4.,1037745,100710,1.111179801971148347083087548395006497488153034918560111642819383317864048953797553020444732280903298910957034986502045400753721660583313920000,9
cups,2009,12,25752,11237,677,1.,543369,14515,1.027446138248432062168458789009200530395142229520743059237068387505167158894035653322807021874678997236622370487306518622938362381276062904895412915200,9
nix,2009,12,2118,2368,206,1.5,30335,-250,0.99164996659759579539536222481216480104337258589942638170863876950323036276749139099424333853199205320410694750081568931552333993966946770852608000,6
jQuery,2012,12,20361,26207,816,13.5,31447,-5215,0.82818265676412410971218705036085315407046282194056103274403584629489553337890672436001912013867792703767292177347959985922557737600000000,6
gvsig-desktop,2012,12,59022,1901,131,2.,1376253,57121,1.043306391141785524184810036363114171838338135732766828238565075799068483226955839081269953277711038153336065453788924578476786076953292800,8
haiku,2007,12,888715,432664,4150,13.,6313126,456051,1.07786326793573927053509220192734089311009682282050524069954153079525668706140925557912302136328632730997679524652409397838737868014151641088000,5
vtk,1994,12,32838,7273,532,2,29402,25565,7.6627573628347588876556926370368282870804925669185499823475142194268357548019017496570245772735020539372357368905728,0
gettext,2010,12,8985,20172,200,1.,359511,-11198,0.968859844274648981393537227662412120170227970097551500976186574526635917908041809741040164068047175890769244320543355307679024008994205480642496079424000,10
layman,2008,12,229,119,13,0.,2895,110,1.0394973070054874412508082467345875000000000,1
gammu,2010,12,278850,203641,1275,2.,133845,4169,1.032149356857723308264014074176008079497030784203012984574484133102737845407170507401202276224110883375329440880696186144237363546774369905162240000,6
infrarecorder,2006,12,6673,823,55,1.,31018,5850,1.232438016509090968987390536042496800,0
wikka,2011,12,8228,1132,93,1.,50897,7096,1.16226475498188409761033572537463875948696746114446492504184841756595461232372216726289015071287506706287604736000000,6
phpbms,2008,12,7996,3461,122,1.5,37513,4535,1.1375159197015860913085276296806671964108643740103566731584166514310820847523552143001897334006400000000,2
tuscany,2011,12,109144,83932,1762,7.,718029,25212,1.036390562017986281283263781418450548445742609551364568123455128118161693245433677818359143477011884052674571286493287125750108574717109301184,5
sqlyog,2013,12,12107,11979,12,1,174166,128,1.0007354715636408753925338750,7
Snowball_Stemming_Algorithms,2003,12,5150,202,30,1.,21956,4948,1.2909219190594496331918951728200236643514997057935524259016562327861962949394379315696000000,2
dolibarr,2011,12,662808,835882,8530,5.,763109,-6048,0.9887694278519171410931203514867328039388624651240485230801970208779735056255408339739956305651182400043946164892344972891945674457596800,9
giggle,2010,12,1697,1683,137,1.5,25327,14,1.000569615103841844241556559619622107962261198710413139024493308713660036591229223705464387142451200000,3
pcre,2009,12,5725,2640,127,0.5,40404,3085,1.082665666275739076559502750201070275440200291120346425163360779520000000000,2
Hadoop,2010,12,139410,54906,780,14.5,1487238,84504,1.06024235528710564244857125763758454319301403113866899993781294010001867166892791319865945672906941948232734382014176566009533722607164724480000,4
lastfm,2008,12,0,0,0,0.,6650931,0,1.000000000000,2
SPIP-Zone,2005,12,878073,635036,2465,15.,283247,243037,7.0441929866415952382305154271210402846415919929426229725369516384142886313602931200,0
scala,2009,12,150036,115598,1877,12.,167542,34438,1.258730015630615387477747850812589141549114555905449810014314324165945327621884498543253936923345252713569311723053662083158514265079029760,6
uClibc,2009,12,70929,13599,602,6.5,305340,56420,1.2266591676389062471430140479584442798351156148067817216277073617159357118147779548259187751967129102420468511615511552199375163080717813010999550000,9
udev,2003,12,32680,6094,335,2.,26750,26586,163.1097560776360012166039087549179040886915089955432869958201600,0
make,2013,12,0,0,0,0,33351,0,1.000,24
gthumb,2011,12,68221,43082,893,2.,161143,18823,1.134038310905440888611210202137549654027804452095023353999998347466663668704556445771317214991084071822015031918361034050915187050556908971520,9
subversion,2012,12,111838,76110,4143,14.,492085,35728,1.07828958468969903181400034672626734019535628054130582902736953601824270272585026337026305175389422524345356212009767643253381915899248640000,12
camel,2010,12,176259,115074,2996,9.,637218,61185,1.109727622280743655981454311654157494581996676684042920760348009603965957914504245919701318747676394719204819123964548131535613142630400,3
xmoto,2007,12,201212,49086,593,2.,219729,152126,3.2502847505293792498918023926236653290454058102572684245768817251957422834572176471446995956779277198974929623040000,0
tremulous,2010,12,2872,1881,153,3.,203566,991,1.00489201530344406751380703054328897937870794926108463318136670280775108150527358352989910947288871100372083795642325087573681329579378004036008858527989760,10
dom4j,2010,12,0,0,0,0.,73530,0,1.000000000000,9
pdfbox,2011,12,37873,7814,226,2.,98842,30059,1.4370120524362753231132332825049679387623719129340676388063097251805884320889136896343966396797868372938350476400741480444779657000686773760,3
mc,2006,12,4456,3780,328,2.,202730,676,1.003345640275059831276051280944093430141298655662603926854985200781447490484753593902426382466390030481294031130457037120463718882547054021400,9
b2cs,2006,12,20524,9857,749,1.,19631,10667,2.18998215068455950528884262451048384639134154711704112472888979260273470822433613437507332271942987814593552461797272495137500000,1
alsa,2001,12,65130,42241,825,2.,68099,22889,1.506281796044899135785678837959614349245714023024961765874729708374501286800006343502307165849032682889013633905924175924968556000000,3
phpmailer,2012,12,80899,57024,257,1.,31363,23875,4.1884348294880602057761835724869652036732797862324650050222483333120000000,1
ehcache,2013,12,13735,18343,283,18,159633,-4608,0.97194366814866094239149001960344898,7
karaf,2012,12,66721,56058,1106,6.,103035,10663,1.11543541332821345904484155071231356041110587447083836675788834844068070891078539437877966691200705930304795036933751763288029841580040000000,5
spirit,2011,12,0,0,0,0.,942430,0,1.000000000000,10
krusader,2011,12,3811,3886,189,1.5,62244,-337,0.99449634178630298614921114564228152210551702906225787719833763695528443593143362642232950342466992011027909836800000,9
vaadin,2012,12,2934352,1822264,6506,21.,4516990,1064732,1.3084161148884948986825457631634584963984614297489060534495741129163673615542337989492370525291033755785781812721194043781728126361849548800,6
hyperic,2010,12,3195162,3193785,3639,11.,1459845,11235,1.00778996020317616464942084548940538861141091494791019884494679339021070820119438034264179653601070096837851587223904559857191374755605611626496000,4
growl,2009,12,1182927,164793,1812,4.,1040408,387053,1.59241476207756401316692917228127616864744865986283433204683619789757783875511073044492425873198004271792753565439901532301572499351862187031517593600000,5
archlinux,2008,12,47049,45998,1786,8.,37296,2411,1.0781751564014316612913720633953297585204351869974750657646783198162999850016410382476166827828785646210944615003113204838061293568000000,6
WordPressMU,2012,12,0,0,0,0.,135856,0,1.000000000000,7
observium,2009,12,16382,8799,472,1.,26210,7583,1.4070972244617776287290011123446412459297893774835413012795088141602838359262775988918626271402313010611516214772227370976125318804346880,2
umbraco,2011,12,2453239,1691902,5811,11.,535773,274626,2.05161460789111375677679500208826032822086541181722508616429378263692220882334496668687468988077881617180656,0
hugin,2010,12,128639,57427,996,8.,203010,28372,1.1624617780808607237299068602251177312943524236680887055375806012517387573824529914304264639336898204533153982707793529567649263731404580061184000,7
commons-jexl,2012,12,4592,2889,48,1.,17831,1703,1.10559275792624330218382152455432810468483652365816465749125291956480000000,10
salt,2011,12,59735,21337,1854,3.5,17085,16808,61.678700364287499053330896767005617505304368390189607176454494545915322170183895698248921065138349792000,0
zf2,2012,12,1913379,8801201,9581,43.5,1668650,-1285884,0.2269767374802419223471365566786304029550203206280818358093397219320662591217225881974970977280,3
pencil-firefox,2010,12,8854,2311,66,0.,30639,6543,1.2715388446247515434668567149892353822836120000000000,2
restlet,2010,12,271622,346103,1252,2.5,427094,-74481,0.75221648159270955123820742637008376692725096901483960755864857382132640792781568460519297296459342606542718608495141455241007125571987046400,5
postgrey,2010,12,187,17,12,0.,2467,170,1.07400957770468977313080000000000,6
jedit,2001,12,130060,25289,467,2.,109191,104771,24.703846159521639776781055649515416809055597165983678933663014044088093023342162620500661149176817475818344024138799728000,1
htDig,2009,12,0,0,0,0.,254563,0,1.000000000000,12
jquerysheet,2012,12,9601,6320,185,1.,15302,3281,1.2729390234305269366884986892974966314546128436486209403235166016664227108044000000,2
simpletest,2008,12,14043,9781,250,2.,107935,4262,1.0411100286515010027331313431760157671846610792899184085025308361443463187219554532283952373296694521103708744000000,5
racket,2004,12,11709,6342,165,0,7785,5367,3.2196029780000,0
gnome-shell,2013,12,5136,3609,533,13,79929,1527,1.01947654396167977949304643317801920,5
displaytag,2003,12,17756,7785,245,2.5,18035,9971,2.236483134864012513558939859998580984183746545854852281422758544992920342271502543941152000,0
libglade,1999,12,12018,4208,180,2.,11346,7810,3.2288812783364541402736062274973338640647292087106962261187138652036450080945902970724299321064597269140015769600,1
netcat,2008,12,0,0,0,0.,14433,0,1.000000000000,6
xtext,2012,12,2362161,2012440,3645,7.5,2442806,188592,1.08366197709860318377132850287644415723548918269643393061445028995505945971036139182400470206030828567984199708500537264936515366927870080,4
aquamacs,1985,12,48,0,2,0.,80,48,2.50000000,0
testng-eclipse,2009,12,2560,2114,53,1.,23572,446,1.0192856525056593079863938886761078172159397153191729752412312221295360000000,5
gwt,2009,12,223190,128449,1605,13.,331419,94741,1.400294915443681081847769462762319270194490519573838025499101603459005749089591750271800504930628774938608034547321529703398749393305600,2
cvs,1995,12,40047,21790,807,5.,54256,18257,1.507152976419042314993730230805285773012336156488651249630990735783966712392918355935516899975086642442530903996437534912336035743047164000,0
filebot,2010,12,1255,730,49,1.,21293,525,1.02527927580492153171848770816156913122996414191750821616182546990262440400000000,2
vba,2007,12,0,0,0,0.,179726,0,1.000000000000,5
layman,2007,12,6,1,2,0,2785,5,1.00179856115100,0
seashore,2010,12,953,432,20,0,29756,521,1.017821104839326911017365843554537574458023781555200000,4
commons-cli,2005,12,5303,2126,62,1.,19461,3177,1.1950994841317007919024315661716441556826194028687941977678278099536640000000,3
cvsnt,2007,12,67621,125758,326,1.5,551948,-58137,0.894469625285091082003391203625795694644672604767084731103113748522897822102152391623866550167196614670131353499843489351378463661616000,7
moq,2009,12,31245,19331,276,1.,28020,11914,1.73972432630069338037332561090439383783625640907330796426919063439807301511037120918691607105206527256501175000000,1
avahi,2009,12,518,634,34,0.5,58826,-122,0.9979244994133626515225717925064870211146056227840831740123866000000000000,4
openerp,2012,12,13531679,10260566,41090,73.5,679750,80690,1.13469435448436190021676505294708828519718307975580597119035776166301024650573111148646196009521589997519979790672339224463368833351680,5
pnotepad,2006,12,152665,26502,632,1.,465495,95923,1.25955158941266264279849510541216961375903393843333632276409322858832657200052824055740343439181728928722736206804653240600742400000,4
rubygems,2005,12,4307,1341,229,2.,11818,2966,1.33506552191284472330046580018707698879119910899176146995861613515162457987975814742954663250960775793292063718630043198800000,2
l2jdp,2009,12,625051,501521,1499,4.,654369,123530,1.232707091978961132065695235829316504426726577643750539031975409592300324564536288077750906737222045954883533043925039643092474019681768110080,4
mako,2013,12,22,3,2,0,11519,19,1.00165217391300,7
gnupg,2001,12,13956,2322,112,0.,56324,11634,1.2603266950257532059309658190097228000000000,4
markdownj,2006,12,0,0,0,0.,5320,0,1.000000000000,1
itext,2002,12,33392,37476,567,1.,79936,-4084,0.937206906673804086224166431230136684988123432893474157203549516013907802827508947682362277637374685108016132262973299676241920000,1
bioperl,2004,12,33356,10984,1148,14.5,356523,22372,1.066951767313445463310297334858417094356024427817358387933365132658687393168479371208202756114928298387722452201710480148329731730991999928691200,5
zsh,2009,12,2501,943,155,2.,101829,1558,1.01553789231242913931297722334367846493501031382523181290436717113650593116109016407743359400860074343971215820348343271949241541191312469688965720829440,10
gcc,1998,12,483337,306626,5006,26.5,886110,176711,1.2490995899296572255879802614032933468656233356337644175050892439947351870891283458145672837746132429170192999593473936072033073146789273600,10
openwebmail,2010,12,54879,47237,104,1.,140960,7642,1.0573215919848291986984111499131668849259854066030056290285842538456849179303136809853077068821746285117440000,9
tine20,2009,12,124528,68156,9221,4.,129338,56372,1.772579009471973230632993952169988008789011975716530376271261995621153903145884414705913013562180527912663109076506736033269481472000,2
sabayon,2010,12,719809,873282,3227,4.,389662,-158009,0.56467872090119963464003995110042250990871735818797554135370249302552093746020294092194875412332756619798658116625692040861379736000,4
yakuake,2012,12,403,274,30,0.,6117,129,1.021543086173394036621467305301416480972379737600000000000,4
xfce-terminal,2006,12,2673,1803,85,1.,13083,870,1.07154605262962834825244342051284492954777386760247134686290990894475199989951629185825391910245013400292600964820213760000,2
struts1,2006,12,602627,468336,666,4.,170179,134291,4.7419471683115871211390187195939292695631111471691460229210737367258940218916279442228625583262768216427170683999058411854448854676961280000,6
rdflib,2006,12,26374,9167,251,3.,26550,17207,2.85260551204038871446609497512752074699193872900123769258909444072261478235186213303375384088722372270906769241655634210372545948527812000,2
zope3,2006,12,83543,94622,727,14.5,319951,-11079,0.963734742172526103145355621880387894476204586944200083233230559345656383555180533598654445321422385079793612105195371083194793690186500000000,7
coloane,2010,12,18590,12067,404,2.,57294,6523,1.1284788560445775289409804531668311531409930627537328535650145971558337503255851458839468979564626488386207774199791223894307059591990385408000,3
portableapps,2011,12,34684,25136,251,2.,32246,9477,1.4426022790895292623086832001818303190994434412368701901492625115866554887919084568193387487328028750322283690278002726354572800,4
FreeIPA,2010,12,56573,27031,873,4.5,66116,28038,1.736330689641541593224538699346047420358982296825643695599482189101543716487551879466325390519977659472206769676967223769049511400448000,3
maven1,2004,12,15928,21716,101,2.,27145,-5788,0.783229092528443926388577819325683768041232973072009925329431659134477054462459349338712917942376438300545160688270084730465200,2
ultravnc,2009,12,11215,3645,142,2.,247386,7570,1.03156639367451567926965984285556054250473807774076933297387592279601792451808502419874870476933336470431829511952462146816841026898583702159897600000,2
joe-editor,2011,12,0,0,0,0.,123114,0,1.000000000000,10
mpdscribble,2010,12,304,111,23,0.,2913,193,1.07095588235307864165600000000000,4
gtkmm,2012,12,15189,12669,84,2.,159169,2520,1.01675342548138052875095461795068518552614739005568255197654420991817534243912934711417848738203297938197766039896234266624000,9
riak,2013,12,16103,8296,135,9,98443,2422,1.02522364899288825795139207128035448,4
rygel,2013,12,2215,1589,138,3,29223,626,1.02189040808574936077542657065299040,5
ubuntu,2009,12,602245,464494,5829,21.,905981,67432,1.08078794362848377111107536871519032334483045137423353828659515674158114863657748056455687322803810416956762677231747025268291442587229400000000,13
mangos,2008,12,2117945,685852,3775,10.5,3133542,1404719,1.81252910208015874817379661658845423289286029905909049178864797944756420846070265738195170930813155152132314453235776682600240836963234988000,3
cpio,2011,12,66,94,4,0.,6754,-28,0.99585430855800000000000,17
deki,2011,12,610269,536947,2173,9.,905583,73322,1.0880997668188029457203057509012488418903599540199032884496873557622125185165727557447919409185040291282549015178283845035964160000,5
pld-linux,2005,12,2333942,734852,2514,26.5,3541290,1598934,1.823193070695880089731285470066070556231199380134609522360655468169409814152267735171105584163485748155341253802900010379241764764825600,6
groff,2013,12,2080,945,38,2,181567,1135,1.0062904584560084832639221702758090220,13
dune-project,2009,12,381228,315573,3206,12.5,279051,65655,1.307667435196907468733624539419640121857607238031805473919228876072736430783331790292904020806415702365322598365698064856691532169216000,6
log4perl,2013,12,0,0,0,0,11473,0,1.000,11
openlp,2010,12,865584,1147165,3027,8.,135343,-1680,0.984416162636970765987579068615175103172561029064092624951599094405850841622450330695938005500412361040547967493074149695368396788047360,3
drush,2007,12,2722,2632,126,0.5,1906,90,1.04955947135753501443124426349062236123913028398204958301135296600000000,1
exist,2009,12,158031,95481,1876,9.5,470487,62550,1.1574749626071776246562083475832873356885505624983451598020094746992854739867923398167247542548717979091885410100744300240881504738281472000,6
konversation,2006,12,19774,14061,1066,5.,39475,5713,1.169213909120113965227087199744916455830298451124528529957107009882612039464359104423158855158345324151841942380083821750050250553100411764480000,4
dunit,2000,12,17513,6400,172,3,16857,11113,2.9347144847371618677470540303634313318682819823736320,0
pdftex,2005,12,18001,47116,40,0.,201439,-29115,0.855464929845777074028109622309960944752370958400000000,2
jack,2013,12,0,0,0,0,125992,0,1.000,12
xmoto,2013,12,0,0,0,0,846802,0,1.000,6
coderepos,2009,12,4433775,1434681,10058,68.,13153141,2999094,1.295359475895276227719779317296017657357611666770687897987610892791986187822567972390979160846141515920788465922253309781295546229473280,2
shogun,2013,12,33251,24080,496,6,221629,4178,1.019213523967826305785129030414453600,7
spring,2011,12,627886,485273,5524,21.,1172862,95180,1.088319188777686742066253553524714744748974508305510357420371694685053119733360975321770078572234016907591839638337656407667091242460435290521600,7
songbird,2010,12,98169,51102,2250,14.,416266,47067,1.1274840939417429850126052327728865479150579451581043450465467744256677952429916911258122395358317315681339095942513934528407968050309120000,4
nhibernate,2007,12,111282,77131,755,3.5,354793,34151,1.10650819293952880667252187767014885300152823247565595693819534460185050836881034478856207304177673800871959656505249349058631922951680000,4
kdepim,2000,12,657045,433250,4788,32.,384069,223795,2.3963275391450767486945047485351044781513392678782831083162116485802063433141506757423973438559310345680377466065920871315796838400,3
dblinq,2011,12,0,0,0,0.,151762,0,1.000000000000,4
GnomeVFS,2004,12,35700,21082,435,5.5,91345,14618,1.2159040557237719738070994732948960363654522319797343705967427518814566197981775898146743338478353559276409082711412514073380509953228800,5
commons-logging,2002,12,3373,1559,129,3.,2459,1814,3.8124031008528717120229678345274819254281506436889964971151071542730084419265270301301897873071174093148277137343333045248000,0
mrtg,2009,12,46,17,5,0.,43036,29,1.000674308833469951134934030000000000,3
jabref,2008,12,15707,3266,176,3.,121756,12440,1.11379852903752886569152141425502451733216651978261048756877245158473189476715668051253798276708048488719474007517407074111634544635200000,5
groovy,2004,12,51506,25190,1082,5.5,56573,26316,1.86974914900159360306041073904705835935039023854882898021274484702674215273636219665343593768230998128889215859334520072962119797000000,1
Mumble,2011,12,36289,104623,412,6.5,408811,-68160,0.8324763805220627949033493872993414006050651959233983388690133207819110784208060801806811694925553112792225179854311917523223475702145498406831251456000,6
kupu,2012,12,0,0,0,0.,30739,0,1.000000000000,9
wcv,2012,12,9,1,3,0.,12276,8,1.000652103032300000000000,5
nexuiz,2007,12,9866,47610,175,2.,63690,-37744,0.33455571228035351022635011558702343305895393101669858026711664311176462737751527343785954477644693371345342276140313939763369350400,3
shogun,2007,12,73464,57320,972,3.,79872,16144,1.253326638228332051803654529082965718748989653683319594436838059373317204569180345415398106545396122086825648670406806022903232000000,1
libssh2,2010,12,7182,4873,359,5.,23943,2309,1.10673014700179126763862965880594120127762431202415618211971049500241357837635126374407558473817617062614577554691293448291539204200,5
avahi,2011,12,63,46,19,0.,59703,17,1.00028482391176223236541793868233916083825000000000,6
xoops,2012,12,6369195,2470657,3715,10.5,28264435,3898538,1.159999773452201080920940315114250971742408052771101201693200098896263462137727565562376496030615772689391875466246414689658096384000,7
tigasexmpp,2013,12,28397,21016,180,4,87558,3796,1.0453188796889978623247680123066144,8
powertop,2013,12,53,68,10,3,20472,-15,0.9992665395332794304666580,3
swingx,2008,12,39790,20974,582,3.5,130868,18816,1.1679220362014293939935591104484658494517528568085850745488843825614633255255652386928023029670062745798099635064928807418356271783829504000,3
wget,2004,12,377,247,29,0.5,42055,130,1.0031007751940014709503610840196267776903201044208787314419403419752204281400000000000,4
erp5,2006,12,4904516,2993358,5494,12.5,4590236,1911158,1.7133640751936706677621692252013942888213047488502972210877617435316137990230722292079774539442978020288545230441650497604818294353920,3
qooxdoo,2012,12,357871,235882,3238,9.,1402247,68571,1.05143964388651996450566895762560282716491957359920858201322573962720968742156514659423589440241145858482301767587026158154349693048419200000000,7
chicken,2009,12,469103,69205,764,3.,530338,395329,3.9281677514708375442867822931619500633295609891319449111110224393211842716176404097834429576264991068790551459237127930498224547202888000000,7
sdl_image,2001,12,1974,650,50,1.,12288,1324,1.120758847143859023355413472756310494879921891335917192006690524092300393250801992737473513002016456576589351800543793206043852160000,1
